,open_time,asset,open_price,intraday_high_price,intraday_low_price,close_price,24h_volume,close_time,number_trades
0,2021-05-14 12:00:00.000,ARUSDT,27.18,77.8,27.18,39.705,275127.2,2021-05-14 12:00:59.999,19234
1,2021-05-14 12:01:00.000,ARUSDT,39.215,41.84,37.822,40.823,90226.54,2021-05-14 12:01:59.999,6350
2,2021-05-14 12:02:00.000,ARUSDT,40.958,41.417,39.1,40.003,45524.16,2021-05-14 12:02:59.999,4585
3,2021-05-14 12:03:00.000,ARUSDT,40.005,42.0,39.615,41.5,45717.82,2021-05-14 12:03:59.999,3383
4,2021-05-14 12:04:00.000,ARUSDT,41.5,42.974,41.4,41.683,35966.4,2021-05-14 12:04:59.999,3399
5,2021-05-14 12:05:00.000,ARUSDT,41.688,42.501,41.069,41.373,23968.61,2021-05-14 12:05:59.999,3060
6,2021-05-14 12:06:00.000,ARUSDT,41.367,41.544,40.0,41.121,29046.33,2021-05-14 12:06:59.999,3152
7,2021-05-14 12:07:00.000,ARUSDT,41.121,41.125,39.228,39.664,24809.93,2021-05-14 12:07:59.999,2418
8,2021-05-14 12:08:00.000,ARUSDT,39.814,40.695,39.46,40.4,19733.21,2021-05-14 12:08:59.999,1902
9,2021-05-14 12:09:00.000,ARUSDT,40.396,40.507,39.731,40.007,16900.98,2021-05-14 12:09:59.999,1343
10,2021-05-14 12:10:00.000,ARUSDT,40.128,40.164,39.4,39.4,9210.49,2021-05-14 12:10:59.999,1139
11,2021-05-14 12:11:00.000,ARUSDT,39.401,39.5,37.51,37.511,35106.9,2021-05-14 12:11:59.999,2702
12,2021-05-14 12:12:00.000,ARUSDT,37.649,37.997,36.7,37.002,25309.28,2021-05-14 12:12:59.999,2562
13,2021-05-14 12:13:00.000,ARUSDT,37.116,37.499,36.46,36.887,31496.63,2021-05-14 12:13:59.999,1882
14,2021-05-14 12:14:00.000,ARUSDT,36.999,37.199,36.114,37.199,22112.72,2021-05-14 12:14:59.999,1744
15,2021-05-14 12:15:00.000,ARUSDT,37.053,37.199,35.526,35.812,28362.17,2021-05-14 12:15:59.999,1660
16,2021-05-14 12:16:00.000,ARUSDT,35.814,36.091,35.111,35.111,27666.71,2021-05-14 12:16:59.999,1836
17,2021-05-14 12:17:00.000,ARUSDT,35.259,36.434,35.011,35.617,28881.17,2021-05-14 12:17:59.999,1803
18,2021-05-14 12:18:00.000,ARUSDT,35.615,35.615,33.819,33.819,36023.45,2021-05-14 12:18:59.999,1707
19,2021-05-14 12:19:00.000,ARUSDT,33.844,34.942,33.57,34.498,41180.33,2021-05-14 12:19:59.999,2236
20,2021-05-14 12:20:00.000,ARUSDT,34.617,35.555,34.154,35.332,26602.31,2021-05-14 12:20:59.999,1673
21,2021-05-14 12:21:00.000,ARUSDT,35.3,35.4,34.2,34.695,16885.64,2021-05-14 12:21:59.999,1209
22,2021-05-14 12:22:00.000,ARUSDT,34.608,34.999,34.246,34.749,9319.13,2021-05-14 12:22:59.999,695
23,2021-05-14 12:23:00.000,ARUSDT,34.967,35.581,34.825,35.009,16909.39,2021-05-14 12:23:59.999,1067
24,2021-05-14 12:24:00.000,ARUSDT,35.162,35.744,35.001,35.468,16293.99,2021-05-14 12:24:59.999,972
25,2021-05-14 12:25:00.000,ARUSDT,35.459,35.459,34.103,34.63,19061.68,2021-05-14 12:25:59.999,1117
26,2021-05-14 12:26:00.000,ARUSDT,34.854,35.182,34.63,34.967,7928.42,2021-05-14 12:26:59.999,558
27,2021-05-14 12:27:00.000,ARUSDT,34.9,34.935,34.261,34.859,6165.99,2021-05-14 12:27:59.999,563
28,2021-05-14 12:28:00.000,ARUSDT,34.702,35.807,34.614,35.624,12126.49,2021-05-14 12:28:59.999,766
29,2021-05-14 12:29:00.000,ARUSDT,35.609,35.609,34.978,35.13,8143.96,2021-05-14 12:29:59.999,604
30,2021-05-14 12:30:00.000,ARUSDT,35.08,36.0,35.08,35.8,9855.53,2021-05-14 12:30:59.999,926
31,2021-05-14 12:31:00.000,ARUSDT,35.873,36.108,35.456,35.864,11660.77,2021-05-14 12:31:59.999,1091
