,open_time,asset,open_price,intraday_high_price,intraday_low_price,close_price,24h_volume,close_time,number_trades
0,2021-05-01 00:00:00.000,BNBDOWNUSDT,9.76,9.77,9.76,9.77,111.7,2021-05-01 00:00:59.999,5
1,2021-05-01 00:01:00.000,BNBDOWNUSDT,9.81,9.95,9.79,9.88,3683.94,2021-05-01 00:01:59.999,174
2,2021-05-01 00:02:00.000,BNBDOWNUSDT,9.88,9.88,9.82,9.83,76.2,2021-05-01 00:02:59.999,8
3,2021-05-01 00:03:00.000,BNBDOWNUSDT,9.78,9.79,9.73,9.79,149.44,2021-05-01 00:03:59.999,25
4,2021-05-01 00:04:00.000,BNBDOWNUSDT,9.8,9.81,9.8,9.8,116.16,2021-05-01 00:04:59.999,7
5,2021-05-01 00:05:00.000,BNBDOWNUSDT,9.86,9.86,9.86,9.86,54.51,2021-05-01 00:05:59.999,4
6,2021-05-01 00:06:00.000,BNBDOWNUSDT,9.86,9.88,9.86,9.88,207.86,2021-05-01 00:06:59.999,15
7,2021-05-01 00:07:00.000,BNBDOWNUSDT,9.86,9.87,9.83,9.86,694.32,2021-05-01 00:07:59.999,21
8,2021-05-01 00:08:00.000,BNBDOWNUSDT,9.86,9.86,9.86,9.86,0.0,2021-05-01 00:08:59.999,0
9,2021-05-01 00:09:00.000,BNBDOWNUSDT,9.86,9.87,9.86,9.86,35.53,2021-05-01 00:09:59.999,3
10,2021-05-01 00:10:00.000,BNBDOWNUSDT,9.84,9.88,9.84,9.86,76.06,2021-05-01 00:10:59.999,3
11,2021-05-01 00:11:00.000,BNBDOWNUSDT,9.84,9.84,9.84,9.84,87.0,2021-05-01 00:11:59.999,1
12,2021-05-01 00:12:00.000,BNBDOWNUSDT,9.84,9.85,9.84,9.85,98.28,2021-05-01 00:12:59.999,8
13,2021-05-01 00:13:00.000,BNBDOWNUSDT,9.85,9.87,9.85,9.87,62.47,2021-05-01 00:13:59.999,6
14,2021-05-01 00:14:00.000,BNBDOWNUSDT,9.92,9.93,9.87,9.87,18.32,2021-05-01 00:14:59.999,3
15,2021-05-01 00:15:00.000,BNBDOWNUSDT,9.87,9.87,9.87,9.87,0.0,2021-05-01 00:15:59.999,0
16,2021-05-01 00:16:00.000,BNBDOWNUSDT,9.91,9.91,9.91,9.91,1.73,2021-05-01 00:16:59.999,1
17,2021-05-01 00:17:00.000,BNBDOWNUSDT,9.93,9.93,9.86,9.87,118.95,2021-05-01 00:17:59.999,6
18,2021-05-01 00:18:00.000,BNBDOWNUSDT,9.85,9.85,9.85,9.85,51.17,2021-05-01 00:18:59.999,3
19,2021-05-01 00:19:00.000,BNBDOWNUSDT,9.91,9.91,9.91,9.91,359.09,2021-05-01 00:19:59.999,10
20,2021-05-01 00:20:00.000,BNBDOWNUSDT,9.91,9.91,9.91,9.91,51.11,2021-05-01 00:20:59.999,3
21,2021-05-01 00:21:00.000,BNBDOWNUSDT,9.91,9.91,9.91,9.91,16.15,2021-05-01 00:21:59.999,2
22,2021-05-01 00:22:00.000,BNBDOWNUSDT,9.91,9.91,9.89,9.9,579.27,2021-05-01 00:22:59.999,4
23,2021-05-01 00:23:00.000,BNBDOWNUSDT,9.89,9.89,9.84,9.84,612.23,2021-05-01 00:23:59.999,7
24,2021-05-01 00:24:00.000,BNBDOWNUSDT,9.84,9.84,9.84,9.84,0.0,2021-05-01 00:24:59.999,0
25,2021-05-01 00:25:00.000,BNBDOWNUSDT,9.88,9.88,9.88,9.88,3.98,2021-05-01 00:25:59.999,2
26,2021-05-01 00:26:00.000,BNBDOWNUSDT,9.9,9.9,9.9,9.9,29.41,2021-05-01 00:26:59.999,1
27,2021-05-01 00:27:00.000,BNBDOWNUSDT,9.9,9.9,9.88,9.89,33.91,2021-05-01 00:27:59.999,3
28,2021-05-01 00:28:00.000,BNBDOWNUSDT,9.89,9.92,9.89,9.92,100.2,2021-05-01 00:28:59.999,9
29,2021-05-01 00:29:00.000,BNBDOWNUSDT,9.89,9.89,9.88,9.88,7.57,2021-05-01 00:29:59.999,3
30,2021-05-01 00:30:00.000,BNBDOWNUSDT,9.88,9.88,9.88,9.88,0.0,2021-05-01 00:30:59.999,0
31,2021-05-01 00:31:00.000,BNBDOWNUSDT,9.88,9.88,9.88,9.88,0.0,2021-05-01 00:31:59.999,0
32,2021-05-01 00:32:00.000,BNBDOWNUSDT,9.91,9.91,9.91,9.91,45.47,2021-05-01 00:32:59.999,2
33,2021-05-01 00:33:00.000,BNBDOWNUSDT,9.92,9.93,9.91,9.91,64.1,2021-05-01 00:33:59.999,3
34,2021-05-01 00:34:00.000,BNBDOWNUSDT,9.95,9.97,9.95,9.97,193.38,2021-05-01 00:34:59.999,13
35,2021-05-01 00:35:00.000,BNBDOWNUSDT,9.95,9.95,9.93,9.94,582.95,2021-05-01 00:35:59.999,7
36,2021-05-01 00:36:00.000,BNBDOWNUSDT,9.95,9.96,9.95,9.96,852.78,2021-05-01 00:36:59.999,2
37,2021-05-01 00:37:00.000,BNBDOWNUSDT,9.93,9.93,9.91,9.91,115.85,2021-05-01 00:37:59.999,5
38,2021-05-01 00:38:00.000,BNBDOWNUSDT,9.93,9.93,9.91,9.91,51.5,2021-05-01 00:38:59.999,2
39,2021-05-01 00:39:00.000,BNBDOWNUSDT,9.91,9.91,9.91,9.91,29.41,2021-05-01 00:39:59.999,1
40,2021-05-01 00:40:00.000,BNBDOWNUSDT,9.94,9.97,9.94,9.97,171.44,2021-05-01 00:40:59.999,4
41,2021-05-01 00:41:00.000,BNBDOWNUSDT,9.94,9.94,9.93,9.93,2.68,2021-05-01 00:41:59.999,2
42,2021-05-01 00:42:00.000,BNBDOWNUSDT,9.93,9.93,9.92,9.92,193.27,2021-05-01 00:42:59.999,2
43,2021-05-01 00:43:00.000,BNBDOWNUSDT,9.92,9.92,9.92,9.92,1106.57,2021-05-01 00:43:59.999,5
44,2021-05-01 00:44:00.000,BNBDOWNUSDT,9.87,9.87,9.87,9.87,721.58,2021-05-01 00:44:59.999,4
45,2021-05-01 00:45:00.000,BNBDOWNUSDT,9.86,9.86,9.81,9.81,311.69,2021-05-01 00:45:59.999,10
46,2021-05-01 00:46:00.000,BNBDOWNUSDT,9.8,9.8,9.76,9.78,1661.9,2021-05-01 00:46:59.999,453
47,2021-05-01 00:47:00.000,BNBDOWNUSDT,9.78,9.8,9.7,9.7,315.2,2021-05-01 00:47:59.999,33
48,2021-05-01 00:48:00.000,BNBDOWNUSDT,9.71,9.71,9.67,9.68,971.91,2021-05-01 00:48:59.999,230
49,2021-05-01 00:49:00.000,BNBDOWNUSDT,9.65,9.67,9.61,9.67,1584.15,2021-05-01 00:49:59.999,24
50,2021-05-01 00:50:00.000,BNBDOWNUSDT,9.64,9.75,9.64,9.75,61.77,2021-05-01 00:50:59.999,7
51,2021-05-01 00:51:00.000,BNBDOWNUSDT,9.73,9.74,9.73,9.74,56.3,2021-05-01 00:51:59.999,9
52,2021-05-01 00:52:00.000,BNBDOWNUSDT,9.76,9.79,9.76,9.79,15.31,2021-05-01 00:52:59.999,4
53,2021-05-01 00:53:00.000,BNBDOWNUSDT,9.79,9.8,9.78,9.79,188.58,2021-05-01 00:53:59.999,12
54,2021-05-01 00:54:00.000,BNBDOWNUSDT,9.79,9.8,9.77,9.77,1356.36,2021-05-01 00:54:59.999,8
55,2021-05-01 00:55:00.000,BNBDOWNUSDT,9.76,9.79,9.68,9.72,1058.16,2021-05-01 00:55:59.999,67
56,2021-05-01 00:56:00.000,BNBDOWNUSDT,9.71,9.71,9.69,9.69,21.41,2021-05-01 00:56:59.999,3
57,2021-05-01 00:57:00.000,BNBDOWNUSDT,9.7,9.7,9.7,9.7,6.37,2021-05-01 00:57:59.999,2
58,2021-05-01 00:58:00.000,BNBDOWNUSDT,9.72,9.73,9.72,9.73,9.63,2021-05-01 00:58:59.999,2
59,2021-05-01 00:59:00.000,BNBDOWNUSDT,9.74,9.77,9.74,9.76,104.54,2021-05-01 00:59:59.999,5
0,2021-05-01 01:00:00.000,BNBDOWNUSDT,9.77,9.77,9.77,9.77,71.64,2021-05-01 01:00:59.999,1
1,2021-05-01 01:01:00.000,BNBDOWNUSDT,9.77,9.77,9.77,9.77,6.58,2021-05-01 01:01:59.999,1
2,2021-05-01 01:02:00.000,BNBDOWNUSDT,9.79,9.81,9.78,9.81,95.54,2021-05-01 01:02:59.999,4
3,2021-05-01 01:03:00.000,BNBDOWNUSDT,9.81,9.9,9.81,9.9,159.41,2021-05-01 01:03:59.999,14
4,2021-05-01 01:04:00.000,BNBDOWNUSDT,9.9,9.95,9.89,9.89,102.58,2021-05-01 01:04:59.999,8
5,2021-05-01 01:05:00.000,BNBDOWNUSDT,9.9,9.93,9.9,9.93,4.01,2021-05-01 01:05:59.999,3
