,open_time,asset,open_price,intraday_high_price,intraday_low_price,close_price,24h_volume,close_time,number_trades
0,2021-05-01 00:00:00.000,EOSUPUSDT,3.174,3.174,3.165,3.167,898.5,2021-05-01 00:00:59.999,8
1,2021-05-01 00:01:00.000,EOSUPUSDT,3.163,3.163,3.148,3.148,1764.98,2021-05-01 00:01:59.999,20
2,2021-05-01 00:02:00.000,EOSUPUSDT,3.174,3.194,3.174,3.194,123.59,2021-05-01 00:02:59.999,5
3,2021-05-01 00:03:00.000,EOSUPUSDT,3.198,3.204,3.178,3.204,11958.98,2021-05-01 00:03:59.999,136
4,2021-05-01 00:04:00.000,EOSUPUSDT,3.205,3.206,3.194,3.198,990.29,2021-05-01 00:04:59.999,15
5,2021-05-01 00:05:00.000,EOSUPUSDT,3.205,3.205,3.198,3.2,423.83,2021-05-01 00:05:59.999,7
6,2021-05-01 00:06:00.000,EOSUPUSDT,3.199,3.199,3.189,3.189,575.82,2021-05-01 00:06:59.999,6
7,2021-05-01 00:07:00.000,EOSUPUSDT,3.18,3.18,3.18,3.18,9.99,2021-05-01 00:07:59.999,1
8,2021-05-01 00:08:00.000,EOSUPUSDT,3.19,3.19,3.189,3.19,4424.13,2021-05-01 00:08:59.999,63
9,2021-05-01 00:09:00.000,EOSUPUSDT,3.191,3.198,3.191,3.198,45.41,2021-05-01 00:09:59.999,3
10,2021-05-01 00:10:00.000,EOSUPUSDT,3.197,3.2,3.187,3.199,6469.93,2021-05-01 00:10:59.999,12
11,2021-05-01 00:11:00.000,EOSUPUSDT,3.206,3.206,3.187,3.204,9466.19,2021-05-01 00:11:59.999,12
12,2021-05-01 00:12:00.000,EOSUPUSDT,3.202,3.203,3.202,3.203,86.24,2021-05-01 00:12:59.999,2
13,2021-05-01 00:13:00.000,EOSUPUSDT,3.196,3.207,3.195,3.207,2533.16,2021-05-01 00:13:59.999,8
14,2021-05-01 00:14:00.000,EOSUPUSDT,3.202,3.21,3.202,3.21,629.21,2021-05-01 00:14:59.999,7
15,2021-05-01 00:15:00.000,EOSUPUSDT,3.204,3.204,3.174,3.189,5949.49,2021-05-01 00:15:59.999,19
16,2021-05-01 00:16:00.000,EOSUPUSDT,3.206,3.206,3.201,3.202,512.42,2021-05-01 00:16:59.999,7
17,2021-05-01 00:17:00.000,EOSUPUSDT,3.202,3.203,3.202,3.203,77.14,2021-05-01 00:17:59.999,2
18,2021-05-01 00:18:00.000,EOSUPUSDT,3.205,3.21,3.205,3.208,6752.09,2021-05-01 00:18:59.999,20
19,2021-05-01 00:19:00.000,EOSUPUSDT,3.21,3.218,3.21,3.218,312.2,2021-05-01 00:19:59.999,7
20,2021-05-01 00:20:00.000,EOSUPUSDT,3.211,3.213,3.204,3.211,2467.01,2021-05-01 00:20:59.999,20
21,2021-05-01 00:21:00.000,EOSUPUSDT,3.219,3.224,3.219,3.224,804.36,2021-05-01 00:21:59.999,6
22,2021-05-01 00:22:00.000,EOSUPUSDT,3.222,3.228,3.222,3.228,51.16,2021-05-01 00:22:59.999,5
23,2021-05-01 00:23:00.000,EOSUPUSDT,3.225,3.236,3.222,3.236,1494.47,2021-05-01 00:23:59.999,12
24,2021-05-01 00:24:00.000,EOSUPUSDT,3.231,3.237,3.224,3.237,931.98,2021-05-01 00:24:59.999,10
25,2021-05-01 00:25:00.000,EOSUPUSDT,3.234,3.26,3.227,3.26,3783.57,2021-05-01 00:25:59.999,36
26,2021-05-01 00:26:00.000,EOSUPUSDT,3.258,3.272,3.258,3.272,2598.63,2021-05-01 00:26:59.999,14
27,2021-05-01 00:27:00.000,EOSUPUSDT,3.278,3.278,3.257,3.262,4206.68,2021-05-01 00:27:59.999,35
28,2021-05-01 00:28:00.000,EOSUPUSDT,3.255,3.255,3.22,3.226,711.28,2021-05-01 00:28:59.999,9
29,2021-05-01 00:29:00.000,EOSUPUSDT,3.229,3.249,3.229,3.249,678.35,2021-05-01 00:29:59.999,5
30,2021-05-01 00:30:00.000,EOSUPUSDT,3.251,3.256,3.25,3.253,1238.83,2021-05-01 00:30:59.999,4
31,2021-05-01 00:31:00.000,EOSUPUSDT,3.251,3.251,3.246,3.246,40.58,2021-05-01 00:31:59.999,3
32,2021-05-01 00:32:00.000,EOSUPUSDT,3.236,3.236,3.229,3.229,421.36,2021-05-01 00:32:59.999,10
33,2021-05-01 00:33:00.000,EOSUPUSDT,3.229,3.229,3.214,3.22,1652.87,2021-05-01 00:33:59.999,12
34,2021-05-01 00:34:00.000,EOSUPUSDT,3.22,3.22,3.22,3.22,50.57,2021-05-01 00:34:59.999,2
35,2021-05-01 00:35:00.000,EOSUPUSDT,3.207,3.216,3.204,3.216,2521.8,2021-05-01 00:35:59.999,14
36,2021-05-01 00:36:00.000,EOSUPUSDT,3.21,3.22,3.206,3.22,451.24,2021-05-01 00:36:59.999,7
37,2021-05-01 00:37:00.000,EOSUPUSDT,3.235,3.24,3.235,3.238,53.89,2021-05-01 00:37:59.999,3
38,2021-05-01 00:38:00.000,EOSUPUSDT,3.248,3.257,3.239,3.239,916.42,2021-05-01 00:38:59.999,6
39,2021-05-01 00:39:00.000,EOSUPUSDT,3.238,3.238,3.229,3.229,701.73,2021-05-01 00:39:59.999,3
40,2021-05-01 00:40:00.000,EOSUPUSDT,3.22,3.223,3.217,3.217,74.5,2021-05-01 00:40:59.999,4
41,2021-05-01 00:41:00.000,EOSUPUSDT,3.216,3.223,3.215,3.223,1873.48,2021-05-01 00:41:59.999,6
42,2021-05-01 00:42:00.000,EOSUPUSDT,3.228,3.23,3.216,3.216,1650.63,2021-05-01 00:42:59.999,9
43,2021-05-01 00:43:00.000,EOSUPUSDT,3.207,3.212,3.201,3.211,346.02,2021-05-01 00:43:59.999,6
44,2021-05-01 00:44:00.000,EOSUPUSDT,3.208,3.211,3.208,3.209,135.32,2021-05-01 00:44:59.999,4
45,2021-05-01 00:45:00.000,EOSUPUSDT,3.208,3.208,3.191,3.191,3209.15,2021-05-01 00:45:59.999,12
46,2021-05-01 00:46:00.000,EOSUPUSDT,3.195,3.207,3.195,3.207,2040.08,2021-05-01 00:46:59.999,8
47,2021-05-01 00:47:00.000,EOSUPUSDT,3.199,3.201,3.199,3.201,1167.4,2021-05-01 00:47:59.999,5
48,2021-05-01 00:48:00.000,EOSUPUSDT,3.201,3.203,3.192,3.203,691.97,2021-05-01 00:48:59.999,5
49,2021-05-01 00:49:00.000,EOSUPUSDT,3.203,3.203,3.203,3.203,0.0,2021-05-01 00:49:59.999,0
50,2021-05-01 00:50:00.000,EOSUPUSDT,3.211,3.211,3.211,3.211,251.11,2021-05-01 00:50:59.999,1
51,2021-05-01 00:51:00.000,EOSUPUSDT,3.197,3.197,3.197,3.197,233.68,2021-05-01 00:51:59.999,2
52,2021-05-01 00:52:00.000,EOSUPUSDT,3.189,3.189,3.181,3.185,3168.69,2021-05-01 00:52:59.999,12
