,open_time,asset,open_price,intraday_high_price,intraday_low_price,close_price,24h_volume,close_time,number_trades
0,2021-05-01 00:00:00.000,FISUSDT,3.192,3.199,3.168,3.179,6237.201,2021-05-01 00:00:59.999,56
1,2021-05-01 00:01:00.000,FISUSDT,3.178,3.197,3.178,3.196,2398.223,2021-05-01 00:01:59.999,43
2,2021-05-01 00:02:00.000,FISUSDT,3.196,3.2,3.182,3.189,11799.337,2021-05-01 00:02:59.999,60
3,2021-05-01 00:03:00.000,FISUSDT,3.184,3.194,3.18,3.184,4245.254,2021-05-01 00:03:59.999,52
4,2021-05-01 00:04:00.000,FISUSDT,3.197,3.197,3.135,3.141,14086.541,2021-05-01 00:04:59.999,204
5,2021-05-01 00:05:00.000,FISUSDT,3.139,3.152,3.121,3.129,26055.709,2021-05-01 00:05:59.999,348
6,2021-05-01 00:06:00.000,FISUSDT,3.137,3.137,3.104,3.117,13034.289,2021-05-01 00:06:59.999,204
7,2021-05-01 00:07:00.000,FISUSDT,3.116,3.12,3.106,3.119,3889.028,2021-05-01 00:07:59.999,100
8,2021-05-01 00:08:00.000,FISUSDT,3.119,3.13,3.101,3.123,5562.104,2021-05-01 00:08:59.999,107
9,2021-05-01 00:09:00.000,FISUSDT,3.121,3.13,3.117,3.122,2192.64,2021-05-01 00:09:59.999,39
10,2021-05-01 00:10:00.000,FISUSDT,3.12,3.122,3.119,3.12,602.479,2021-05-01 00:10:59.999,16
11,2021-05-01 00:11:00.000,FISUSDT,3.122,3.129,3.119,3.126,745.937,2021-05-01 00:11:59.999,20
12,2021-05-01 00:12:00.000,FISUSDT,3.121,3.121,3.107,3.107,5017.899,2021-05-01 00:12:59.999,66
13,2021-05-01 00:13:00.000,FISUSDT,3.11,3.114,3.107,3.114,8600.606,2021-05-01 00:13:59.999,35
14,2021-05-01 00:14:00.000,FISUSDT,3.108,3.118,3.107,3.118,5062.204,2021-05-01 00:14:59.999,22
15,2021-05-01 00:15:00.000,FISUSDT,3.115,3.115,3.074,3.088,28008.656,2021-05-01 00:15:59.999,251
16,2021-05-01 00:16:00.000,FISUSDT,3.088,3.088,3.077,3.083,6526.862,2021-05-01 00:16:59.999,143
17,2021-05-01 00:17:00.000,FISUSDT,3.083,3.088,3.058,3.077,25384.469,2021-05-01 00:17:59.999,177
18,2021-05-01 00:18:00.000,FISUSDT,3.081,3.084,3.057,3.058,15764.674,2021-05-01 00:18:59.999,118
19,2021-05-01 00:19:00.000,FISUSDT,3.07,3.07,3.031,3.042,16133.3,2021-05-01 00:19:59.999,156
20,2021-05-01 00:20:00.000,FISUSDT,3.036,3.09,3.031,3.08,22318.32,2021-05-01 00:20:59.999,78
21,2021-05-01 00:21:00.000,FISUSDT,3.085,3.127,3.08,3.115,12232.964,2021-05-01 00:21:59.999,163
22,2021-05-01 00:22:00.000,FISUSDT,3.115,3.136,3.107,3.122,8463.889,2021-05-01 00:22:59.999,103
23,2021-05-01 00:23:00.000,FISUSDT,3.121,3.129,3.115,3.129,720.069,2021-05-01 00:23:59.999,23
24,2021-05-01 00:24:00.000,FISUSDT,3.128,3.129,3.116,3.127,1764.567,2021-05-01 00:24:59.999,63
25,2021-05-01 00:25:00.000,FISUSDT,3.127,3.127,3.102,3.108,5778.594,2021-05-01 00:25:59.999,43
26,2021-05-01 00:26:00.000,FISUSDT,3.109,3.125,3.084,3.087,6467.208,2021-05-01 00:26:59.999,105
27,2021-05-01 00:27:00.000,FISUSDT,3.087,3.089,3.072,3.072,7310.781,2021-05-01 00:27:59.999,62
28,2021-05-01 00:28:00.000,FISUSDT,3.077,3.085,3.072,3.085,2775.31,2021-05-01 00:28:59.999,40
29,2021-05-01 00:29:00.000,FISUSDT,3.083,3.084,3.077,3.077,936.875,2021-05-01 00:29:59.999,24
30,2021-05-01 00:30:00.000,FISUSDT,3.08,3.085,3.076,3.076,2648.331,2021-05-01 00:30:59.999,24
31,2021-05-01 00:31:00.000,FISUSDT,3.076,3.1,3.076,3.089,3874.98,2021-05-01 00:31:59.999,57
32,2021-05-01 00:32:00.000,FISUSDT,3.1,3.102,3.088,3.091,2855.089,2021-05-01 00:32:59.999,28
33,2021-05-01 00:33:00.000,FISUSDT,3.098,3.115,3.088,3.107,3300.215,2021-05-01 00:33:59.999,42
34,2021-05-01 00:34:00.000,FISUSDT,3.105,3.111,3.091,3.099,800.752,2021-05-01 00:34:59.999,18
35,2021-05-01 00:35:00.000,FISUSDT,3.09,3.106,3.085,3.106,2447.378,2021-05-01 00:35:59.999,29
36,2021-05-01 00:36:00.000,FISUSDT,3.095,3.106,3.083,3.106,3126.169,2021-05-01 00:36:59.999,74
37,2021-05-01 00:37:00.000,FISUSDT,3.106,3.12,3.099,3.12,3426.754,2021-05-01 00:37:59.999,52
38,2021-05-01 00:38:00.000,FISUSDT,3.115,3.115,3.085,3.087,3084.19,2021-05-01 00:38:59.999,40
39,2021-05-01 00:39:00.000,FISUSDT,3.089,3.1,3.087,3.099,2938.392,2021-05-01 00:39:59.999,67
40,2021-05-01 00:40:00.000,FISUSDT,3.093,3.1,3.09,3.095,485.311,2021-05-01 00:40:59.999,13
