,open_time,asset,open_price,intraday_high_price,intraday_low_price,close_price,24h_volume,close_time,number_trades
0,2021-05-19 07:00:00.000,POLSUSDT,3.218,3.99,3.075,3.08,833083.06,2021-05-19 07:00:59.999,5620
1,2021-05-19 07:01:00.000,POLSUSDT,3.076,3.255,3.074,3.15,308026.2,2021-05-19 07:01:59.999,2074
2,2021-05-19 07:02:00.000,POLSUSDT,3.15,3.252,3.112,3.158,157411.9,2021-05-19 07:02:59.999,1142
3,2021-05-19 07:03:00.000,POLSUSDT,3.158,3.232,3.05,3.078,214756.8,2021-05-19 07:03:59.999,1212
4,2021-05-19 07:04:00.000,POLSUSDT,3.096,3.175,3.075,3.099,75171.51,2021-05-19 07:04:59.999,518
5,2021-05-19 07:05:00.000,POLSUSDT,3.098,3.15,3.08,3.131,62555.68,2021-05-19 07:05:59.999,440
6,2021-05-19 07:06:00.000,POLSUSDT,3.137,3.164,3.092,3.092,37745.67,2021-05-19 07:06:59.999,366
7,2021-05-19 07:07:00.000,POLSUSDT,3.093,3.149,3.08,3.12,36945.73,2021-05-19 07:07:59.999,398
8,2021-05-19 07:08:00.000,POLSUSDT,3.125,3.142,3.06,3.114,44043.79,2021-05-19 07:08:59.999,301
9,2021-05-19 07:09:00.000,POLSUSDT,3.102,3.13,3.06,3.06,24861.81,2021-05-19 07:09:59.999,283
10,2021-05-19 07:10:00.000,POLSUSDT,3.072,3.072,2.888,2.951,164063.55,2021-05-19 07:10:59.999,1232
11,2021-05-19 07:11:00.000,POLSUSDT,2.951,2.963,2.8,2.804,74693.39,2021-05-19 07:11:59.999,587
12,2021-05-19 07:12:00.000,POLSUSDT,2.806,2.998,2.787,2.887,92997.03,2021-05-19 07:12:59.999,722
13,2021-05-19 07:13:00.000,POLSUSDT,2.876,2.908,2.791,2.791,66515.13,2021-05-19 07:13:59.999,311
14,2021-05-19 07:14:00.000,POLSUSDT,2.795,2.88,2.783,2.88,72539.69,2021-05-19 07:14:59.999,302
15,2021-05-19 07:15:00.000,POLSUSDT,2.88,2.94,2.792,2.793,96438.07,2021-05-19 07:15:59.999,377
16,2021-05-19 07:16:00.000,POLSUSDT,2.793,2.793,2.63,2.712,149305.52,2021-05-19 07:16:59.999,801
17,2021-05-19 07:17:00.000,POLSUSDT,2.706,2.828,2.686,2.812,29905.47,2021-05-19 07:17:59.999,386
18,2021-05-19 07:18:00.000,POLSUSDT,2.812,2.842,2.774,2.814,22124.21,2021-05-19 07:18:59.999,265
19,2021-05-19 07:19:00.000,POLSUSDT,2.819,2.882,2.819,2.85,30755.02,2021-05-19 07:19:59.999,229
20,2021-05-19 07:20:00.000,POLSUSDT,2.852,2.901,2.842,2.901,38442.33,2021-05-19 07:20:59.999,223
21,2021-05-19 07:21:00.000,POLSUSDT,2.901,2.93,2.821,2.855,62339.38,2021-05-19 07:21:59.999,369
22,2021-05-19 07:22:00.000,POLSUSDT,2.855,2.916,2.8,2.856,31498.51,2021-05-19 07:22:59.999,267
23,2021-05-19 07:23:00.000,POLSUSDT,2.855,2.876,2.8,2.817,23722.63,2021-05-19 07:23:59.999,168
24,2021-05-19 07:24:00.000,POLSUSDT,2.824,2.85,2.765,2.79,21161.56,2021-05-19 07:24:59.999,222
25,2021-05-19 07:25:00.000,POLSUSDT,2.789,2.797,2.737,2.752,24257.76,2021-05-19 07:25:59.999,159
26,2021-05-19 07:26:00.000,POLSUSDT,2.752,2.752,2.684,2.7,44093.07,2021-05-19 07:26:59.999,242
27,2021-05-19 07:27:00.000,POLSUSDT,2.7,2.8,2.698,2.777,35830.55,2021-05-19 07:27:59.999,220
28,2021-05-19 07:28:00.000,POLSUSDT,2.778,2.793,2.751,2.771,18470.31,2021-05-19 07:28:59.999,102
29,2021-05-19 07:29:00.000,POLSUSDT,2.774,2.879,2.765,2.827,28074.42,2021-05-19 07:29:59.999,184
30,2021-05-19 07:30:00.000,POLSUSDT,2.844,2.877,2.825,2.863,17062.76,2021-05-19 07:30:59.999,140
31,2021-05-19 07:31:00.000,POLSUSDT,2.864,2.891,2.864,2.883,20943.05,2021-05-19 07:31:59.999,102
32,2021-05-19 07:32:00.000,POLSUSDT,2.889,2.89,2.76,2.773,40585.86,2021-05-19 07:32:59.999,274
