,open_time,asset,open_price,intraday_high_price,intraday_low_price,close_price,24h_volume,close_time,number_trades
0,2021-05-01 00:00:00.000,BCHUPUSDT,10.21,10.21,10.19,10.19,91.62,2021-05-01 00:00:59.999,2
1,2021-05-01 00:01:00.000,BCHUPUSDT,10.2,10.21,10.08,10.08,141.93,2021-05-01 00:01:59.999,10
2,2021-05-01 00:02:00.000,BCHUPUSDT,10.15,10.26,10.15,10.26,359.33,2021-05-01 00:02:59.999,12
3,2021-05-01 00:03:00.000,BCHUPUSDT,10.25,10.27,10.25,10.27,32.0,2021-05-01 00:03:59.999,4
4,2021-05-01 00:04:00.000,BCHUPUSDT,10.28,10.33,10.23,10.32,554.3,2021-05-01 00:04:59.999,20
5,2021-05-01 00:05:00.000,BCHUPUSDT,10.32,10.36,10.32,10.36,1292.57,2021-05-01 00:05:59.999,11
6,2021-05-01 00:06:00.000,BCHUPUSDT,10.35,10.4,10.29,10.3,1253.49,2021-05-01 00:06:59.999,18
7,2021-05-01 00:07:00.000,BCHUPUSDT,10.36,10.38,10.36,10.37,713.08,2021-05-01 00:07:59.999,4
8,2021-05-01 00:08:00.000,BCHUPUSDT,10.37,10.37,10.37,10.37,0.0,2021-05-01 00:08:59.999,0
9,2021-05-01 00:09:00.000,BCHUPUSDT,10.36,10.42,10.36,10.42,814.74,2021-05-01 00:09:59.999,5
10,2021-05-01 00:10:00.000,BCHUPUSDT,10.43,10.5,10.43,10.5,24.51,2021-05-01 00:10:59.999,10
11,2021-05-01 00:11:00.000,BCHUPUSDT,10.48,10.48,10.37,10.39,63.66,2021-05-01 00:11:59.999,8
12,2021-05-01 00:12:00.000,BCHUPUSDT,10.48,10.54,10.48,10.54,642.7,2021-05-01 00:12:59.999,9
13,2021-05-01 00:13:00.000,BCHUPUSDT,10.55,10.61,10.5,10.5,180.63,2021-05-01 00:13:59.999,16
14,2021-05-01 00:14:00.000,BCHUPUSDT,10.55,10.59,10.55,10.59,315.37,2021-05-01 00:14:59.999,4
15,2021-05-01 00:15:00.000,BCHUPUSDT,10.53,10.53,10.36,10.36,1298.91,2021-05-01 00:15:59.999,17
16,2021-05-01 00:16:00.000,BCHUPUSDT,10.42,10.5,10.42,10.43,1116.39,2021-05-01 00:16:59.999,35
17,2021-05-01 00:17:00.000,BCHUPUSDT,10.42,10.46,10.42,10.46,8.22,2021-05-01 00:17:59.999,2
18,2021-05-01 00:18:00.000,BCHUPUSDT,10.47,10.49,10.47,10.49,172.59,2021-05-01 00:18:59.999,5
19,2021-05-01 00:19:00.000,BCHUPUSDT,10.45,10.46,10.4,10.4,76.62,2021-05-01 00:19:59.999,9
20,2021-05-01 00:20:00.000,BCHUPUSDT,10.45,10.46,10.45,10.46,21.73,2021-05-01 00:20:59.999,2
21,2021-05-01 00:21:00.000,BCHUPUSDT,10.45,10.46,10.39,10.39,280.61,2021-05-01 00:21:59.999,6
22,2021-05-01 00:22:00.000,BCHUPUSDT,10.36,10.36,10.36,10.36,3.44,2021-05-01 00:22:59.999,2
23,2021-05-01 00:23:00.000,BCHUPUSDT,10.36,10.36,10.36,10.36,0.0,2021-05-01 00:23:59.999,0
24,2021-05-01 00:24:00.000,BCHUPUSDT,10.33,10.33,10.33,10.33,3.45,2021-05-01 00:24:59.999,1
25,2021-05-01 00:25:00.000,BCHUPUSDT,10.33,10.33,10.33,10.33,0.0,2021-05-01 00:25:59.999,0
26,2021-05-01 00:26:00.000,BCHUPUSDT,10.33,10.33,10.33,10.33,0.0,2021-05-01 00:26:59.999,0
27,2021-05-01 00:27:00.000,BCHUPUSDT,10.33,10.33,10.3,10.3,270.02,2021-05-01 00:27:59.999,3
28,2021-05-01 00:28:00.000,BCHUPUSDT,10.33,10.41,10.33,10.4,499.11,2021-05-01 00:28:59.999,10
29,2021-05-01 00:29:00.000,BCHUPUSDT,10.36,10.36,10.36,10.36,865.61,2021-05-01 00:29:59.999,6
30,2021-05-01 00:30:00.000,BCHUPUSDT,10.36,10.36,10.33,10.33,8.46,2021-05-01 00:30:59.999,3
31,2021-05-01 00:31:00.000,BCHUPUSDT,10.33,10.33,10.33,10.33,0.0,2021-05-01 00:31:59.999,0
32,2021-05-01 00:32:00.000,BCHUPUSDT,10.33,10.33,10.33,10.33,809.46,2021-05-01 00:32:59.999,7
33,2021-05-01 00:33:00.000,BCHUPUSDT,10.3,10.3,10.28,10.28,5.79,2021-05-01 00:33:59.999,2
34,2021-05-01 00:34:00.000,BCHUPUSDT,10.29,10.3,10.24,10.24,36.14,2021-05-01 00:34:59.999,5
35,2021-05-01 00:35:00.000,BCHUPUSDT,10.24,10.24,10.17,10.17,1007.81,2021-05-01 00:35:59.999,12
36,2021-05-01 00:36:00.000,BCHUPUSDT,10.19,10.19,10.17,10.17,5.0,2021-05-01 00:36:59.999,2
37,2021-05-01 00:37:00.000,BCHUPUSDT,10.18,10.23,10.18,10.23,234.1,2021-05-01 00:37:59.999,5
38,2021-05-01 00:38:00.000,BCHUPUSDT,10.24,10.26,10.22,10.26,188.88,2021-05-01 00:38:59.999,8
39,2021-05-01 00:39:00.000,BCHUPUSDT,10.26,10.26,10.26,10.26,0.0,2021-05-01 00:39:59.999,0
40,2021-05-01 00:40:00.000,BCHUPUSDT,10.18,10.18,10.11,10.11,69.88,2021-05-01 00:40:59.999,7
41,2021-05-01 00:41:00.000,BCHUPUSDT,10.14,10.14,10.12,10.12,4.73,2021-05-01 00:41:59.999,2
42,2021-05-01 00:42:00.000,BCHUPUSDT,10.12,10.12,10.12,10.12,10.1,2021-05-01 00:42:59.999,2
43,2021-05-01 00:43:00.000,BCHUPUSDT,10.12,10.12,10.12,10.12,1.48,2021-05-01 00:43:59.999,1
44,2021-05-01 00:44:00.000,BCHUPUSDT,10.15,10.16,10.15,10.16,472.95,2021-05-01 00:44:59.999,2
45,2021-05-01 00:45:00.000,BCHUPUSDT,10.1,10.1,10.09,10.09,4.47,2021-05-01 00:45:59.999,2
46,2021-05-01 00:46:00.000,BCHUPUSDT,10.09,10.09,10.07,10.07,4.74,2021-05-01 00:46:59.999,3
47,2021-05-01 00:47:00.000,BCHUPUSDT,10.07,10.12,10.04,10.12,183.4,2021-05-01 00:47:59.999,10
48,2021-05-01 00:48:00.000,BCHUPUSDT,10.11,10.12,10.05,10.05,3001.99,2021-05-01 00:48:59.999,5
49,2021-05-01 00:49:00.000,BCHUPUSDT,10.05,10.05,10.05,10.05,0.0,2021-05-01 00:49:59.999,0
50,2021-05-01 00:50:00.000,BCHUPUSDT,10.05,10.05,10.05,10.05,0.0,2021-05-01 00:50:59.999,0
51,2021-05-01 00:51:00.000,BCHUPUSDT,10.05,10.05,10.05,10.05,0.0,2021-05-01 00:51:59.999,0
