,open_time,asset,open_price,intraday_high_price,intraday_low_price,close_price,24h_volume,close_time,number_trades
0,2021-05-24 09:00:00.000,MDXUSDT,1.6071,2.58,1.6071,2.1247,1636388.0,2021-05-24 09:00:59.999,6496
1,2021-05-24 09:01:00.000,MDXUSDT,2.11,2.2439,2.1085,2.1688,714290.1,2021-05-24 09:01:59.999,2286
2,2021-05-24 09:02:00.000,MDXUSDT,2.1618,2.2448,2.1573,2.1897,565535.56,2021-05-24 09:02:59.999,1671
3,2021-05-24 09:03:00.000,MDXUSDT,2.1814,2.2373,2.181,2.1967,449287.03,2021-05-24 09:03:59.999,1455
4,2021-05-24 09:04:00.000,MDXUSDT,2.2,2.2,2.1,2.1308,506693.0,2021-05-24 09:04:59.999,2429
5,2021-05-24 09:05:00.000,MDXUSDT,2.138,2.1588,2.1239,2.1329,294565.38,2021-05-24 09:05:59.999,855
6,2021-05-24 09:06:00.000,MDXUSDT,2.1329,2.134,2.014,2.0399,602413.6,2021-05-24 09:06:59.999,1946
7,2021-05-24 09:07:00.000,MDXUSDT,2.0399,2.1199,2.0384,2.0989,421749.16,2021-05-24 09:07:59.999,1378
8,2021-05-24 09:08:00.000,MDXUSDT,2.0977,2.138,2.088,2.1111,282227.2,2021-05-24 09:08:59.999,761
9,2021-05-24 09:09:00.000,MDXUSDT,2.1043,2.1649,2.0936,2.1468,194400.7,2021-05-24 09:09:59.999,530
10,2021-05-24 09:10:00.000,MDXUSDT,2.1405,2.16,2.1175,2.1291,166538.06,2021-05-24 09:10:59.999,413
11,2021-05-24 09:11:00.000,MDXUSDT,2.1341,2.158,2.1258,2.1466,168285.3,2021-05-24 09:11:59.999,315
12,2021-05-24 09:12:00.000,MDXUSDT,2.1438,2.1438,2.0963,2.0976,197756.62,2021-05-24 09:12:59.999,412
13,2021-05-24 09:13:00.000,MDXUSDT,2.1,2.1349,2.0802,2.1247,124218.88,2021-05-24 09:13:59.999,317
14,2021-05-24 09:14:00.000,MDXUSDT,2.13,2.14,2.1144,2.135,141472.4,2021-05-24 09:14:59.999,246
15,2021-05-24 09:15:00.000,MDXUSDT,2.135,2.139,2.0981,2.1071,123628.82,2021-05-24 09:15:59.999,327
16,2021-05-24 09:16:00.000,MDXUSDT,2.1071,2.1399,2.1,2.1362,108666.91,2021-05-24 09:16:59.999,345
17,2021-05-24 09:17:00.000,MDXUSDT,2.1362,2.16,2.12,2.146,140680.17,2021-05-24 09:17:59.999,258
18,2021-05-24 09:18:00.000,MDXUSDT,2.1411,2.16,2.123,2.1525,54089.02,2021-05-24 09:18:59.999,185
19,2021-05-24 09:19:00.000,MDXUSDT,2.1525,2.16,2.1388,2.1451,70326.3,2021-05-24 09:19:59.999,271
20,2021-05-24 09:20:00.000,MDXUSDT,2.1488,2.1649,2.13,2.1468,117278.98,2021-05-24 09:20:59.999,381
21,2021-05-24 09:21:00.000,MDXUSDT,2.1433,2.155,2.1003,2.1082,149887.84,2021-05-24 09:21:59.999,370
22,2021-05-24 09:22:00.000,MDXUSDT,2.1082,2.1149,2.0,2.05,224701.75,2021-05-24 09:22:59.999,1152
23,2021-05-24 09:23:00.000,MDXUSDT,2.0505,2.0717,2.0243,2.0633,101998.46,2021-05-24 09:23:59.999,591
24,2021-05-24 09:24:00.000,MDXUSDT,2.0631,2.0785,2.0586,2.07,122570.35,2021-05-24 09:24:59.999,371
25,2021-05-24 09:25:00.000,MDXUSDT,2.0696,2.0767,2.06,2.0689,155181.45,2021-05-24 09:25:59.999,256
26,2021-05-24 09:26:00.000,MDXUSDT,2.0719,2.08,2.0633,2.0748,88772.56,2021-05-24 09:26:59.999,279
27,2021-05-24 09:27:00.000,MDXUSDT,2.0712,2.09,2.07,2.0813,81161.65,2021-05-24 09:27:59.999,151
28,2021-05-24 09:28:00.000,MDXUSDT,2.0812,2.0824,2.061,2.065,124867.04,2021-05-24 09:28:59.999,240
29,2021-05-24 09:29:00.000,MDXUSDT,2.065,2.0855,2.061,2.0763,89385.2,2021-05-24 09:29:59.999,151
30,2021-05-24 09:30:00.000,MDXUSDT,2.0811,2.108,2.0783,2.0998,42677.07,2021-05-24 09:30:59.999,180
31,2021-05-24 09:31:00.000,MDXUSDT,2.0998,2.1032,2.0853,2.0933,70865.75,2021-05-24 09:31:59.999,152
32,2021-05-24 09:32:00.000,MDXUSDT,2.095,2.0997,2.07,2.0735,37048.81,2021-05-24 09:32:59.999,186
33,2021-05-24 09:33:00.000,MDXUSDT,2.0736,2.0888,2.0601,2.0703,41769.29,2021-05-24 09:33:59.999,160
34,2021-05-24 09:34:00.000,MDXUSDT,2.0703,2.071,2.0155,2.04,112890.45,2021-05-24 09:34:59.999,750
35,2021-05-24 09:35:00.000,MDXUSDT,2.0416,2.095,2.0356,2.07,57708.78,2021-05-24 09:35:59.999,235
36,2021-05-24 09:36:00.000,MDXUSDT,2.07,2.07,2.01,2.0639,133695.1,2021-05-24 09:36:59.999,549
37,2021-05-24 09:37:00.000,MDXUSDT,2.0621,2.0755,2.023,2.0416,37703.9,2021-05-24 09:37:59.999,195
38,2021-05-24 09:38:00.000,MDXUSDT,2.0409,2.0543,2.0224,2.0266,27134.96,2021-05-24 09:38:59.999,178
39,2021-05-24 09:39:00.000,MDXUSDT,2.0297,2.0298,1.99,2.0099,95380.34,2021-05-24 09:39:59.999,415
40,2021-05-24 09:40:00.000,MDXUSDT,2.0099,2.0099,1.9387,1.9427,153242.56,2021-05-24 09:40:59.999,728
41,2021-05-24 09:41:00.000,MDXUSDT,1.9428,1.98,1.9386,1.979,172600.83,2021-05-24 09:41:59.999,708
42,2021-05-24 09:42:00.000,MDXUSDT,1.979,1.9913,1.9739,1.9913,161673.56,2021-05-24 09:42:59.999,285
43,2021-05-24 09:43:00.000,MDXUSDT,1.9892,2.0095,1.9804,2.001,79453.44,2021-05-24 09:43:59.999,312
44,2021-05-24 09:44:00.000,MDXUSDT,1.9949,2.0098,1.9865,1.9989,44496.22,2021-05-24 09:44:59.999,209
45,2021-05-24 09:45:00.000,MDXUSDT,1.9983,2.025,1.985,2.025,44523.54,2021-05-24 09:45:59.999,169
46,2021-05-24 09:46:00.000,MDXUSDT,1.9982,2.023,1.9893,1.9947,34538.34,2021-05-24 09:46:59.999,90
47,2021-05-24 09:47:00.000,MDXUSDT,1.994,2.0315,1.9918,2.0012,31569.86,2021-05-24 09:47:59.999,108
48,2021-05-24 09:48:00.000,MDXUSDT,2.0012,2.0188,1.9756,2.0167,51859.12,2021-05-24 09:48:59.999,388
