,open_time,asset,open_price,intraday_high_price,intraday_low_price,close_price,24h_volume,close_time,number_trades
0,2021-05-01 00:00:00.000,PERPUSDT,8.258,8.258,8.258,8.258,56.37,2021-05-01 00:00:59.999,5
1,2021-05-01 00:01:00.000,PERPUSDT,8.26,8.26,8.26,8.26,17.381,2021-05-01 00:01:59.999,2
2,2021-05-01 00:02:00.000,PERPUSDT,8.26,8.27,8.26,8.27,179.498,2021-05-01 00:02:59.999,8
3,2021-05-01 00:03:00.000,PERPUSDT,8.261,8.261,8.259,8.259,4.047,2021-05-01 00:03:59.999,2
4,2021-05-01 00:04:00.000,PERPUSDT,8.261,8.273,8.261,8.273,50.534,2021-05-01 00:04:59.999,4
5,2021-05-01 00:05:00.000,PERPUSDT,8.27,8.273,8.27,8.272,44.342,2021-05-01 00:05:59.999,5
6,2021-05-01 00:06:00.000,PERPUSDT,8.272,8.272,8.262,8.262,139.59,2021-05-01 00:06:59.999,6
7,2021-05-01 00:07:00.000,PERPUSDT,8.271,8.278,8.271,8.278,956.764,2021-05-01 00:07:59.999,6
8,2021-05-01 00:08:00.000,PERPUSDT,8.275,8.275,8.265,8.265,5.207,2021-05-01 00:08:59.999,2
9,2021-05-01 00:09:00.000,PERPUSDT,8.265,8.265,8.265,8.265,40.0,2021-05-01 00:09:59.999,1
10,2021-05-01 00:10:00.000,PERPUSDT,8.264,8.264,8.252,8.262,737.932,2021-05-01 00:10:59.999,10
11,2021-05-01 00:11:00.000,PERPUSDT,8.256,8.256,8.254,8.254,109.07,2021-05-01 00:11:59.999,4
12,2021-05-01 00:12:00.000,PERPUSDT,8.259,8.259,8.259,8.259,16.679,2021-05-01 00:12:59.999,1
13,2021-05-01 00:13:00.000,PERPUSDT,8.259,8.259,8.259,8.259,0.0,2021-05-01 00:13:59.999,0
14,2021-05-01 00:14:00.000,PERPUSDT,8.252,8.252,8.238,8.238,2045.048,2021-05-01 00:14:59.999,10
15,2021-05-01 00:15:00.000,PERPUSDT,8.258,8.259,8.246,8.258,411.043,2021-05-01 00:15:59.999,20
16,2021-05-01 00:16:00.000,PERPUSDT,8.255,8.258,8.255,8.258,54.31,2021-05-01 00:16:59.999,2
17,2021-05-01 00:17:00.000,PERPUSDT,8.255,8.255,8.25,8.25,14.54,2021-05-01 00:17:59.999,2
18,2021-05-01 00:18:00.000,PERPUSDT,8.256,8.256,8.256,8.256,42.664,2021-05-01 00:18:59.999,4
19,2021-05-01 00:19:00.000,PERPUSDT,8.247,8.255,8.247,8.255,48.67,2021-05-01 00:19:59.999,5
20,2021-05-01 00:20:00.000,PERPUSDT,8.255,8.258,8.25,8.25,64.367,2021-05-01 00:20:59.999,6
21,2021-05-01 00:21:00.000,PERPUSDT,8.255,8.255,8.251,8.251,34.206,2021-05-01 00:21:59.999,2
22,2021-05-01 00:22:00.000,PERPUSDT,8.251,8.251,8.249,8.249,321.528,2021-05-01 00:22:59.999,3
23,2021-05-01 00:23:00.000,PERPUSDT,8.25,8.25,8.25,8.25,7.64,2021-05-01 00:23:59.999,1
24,2021-05-01 00:24:00.000,PERPUSDT,8.258,8.258,8.25,8.25,165.804,2021-05-01 00:24:59.999,6
25,2021-05-01 00:25:00.000,PERPUSDT,8.25,8.26,8.25,8.26,95.327,2021-05-01 00:25:59.999,6
26,2021-05-01 00:26:00.000,PERPUSDT,8.263,8.263,8.263,8.263,14.257,2021-05-01 00:26:59.999,3
27,2021-05-01 00:27:00.000,PERPUSDT,8.259,8.263,8.259,8.263,218.316,2021-05-01 00:27:59.999,5
