,open_time,asset,open_price,intraday_high_price,intraday_low_price,close_price,24h_volume,close_time,number_trades
0,2021-05-01 00:00:00.000,SXPDOWNUSDT,8.0,8.05,8.0,8.05,694.72,2021-05-01 00:00:59.999,19
1,2021-05-01 00:01:00.000,SXPDOWNUSDT,8.09,8.2,8.08,8.12,1005.79,2021-05-01 00:01:59.999,26
2,2021-05-01 00:02:00.000,SXPDOWNUSDT,8.07,8.07,7.64,7.71,6357.94,2021-05-01 00:02:59.999,191
3,2021-05-01 00:03:00.000,SXPDOWNUSDT,7.71,7.77,7.7,7.73,825.3,2021-05-01 00:03:59.999,26
4,2021-05-01 00:04:00.000,SXPDOWNUSDT,7.72,7.73,7.64,7.65,2620.25,2021-05-01 00:04:59.999,50
5,2021-05-01 00:05:00.000,SXPDOWNUSDT,7.65,7.65,7.55,7.58,2280.19,2021-05-01 00:05:59.999,100
6,2021-05-01 00:06:00.000,SXPDOWNUSDT,7.58,7.61,7.58,7.61,3518.71,2021-05-01 00:06:59.999,67
7,2021-05-01 00:07:00.000,SXPDOWNUSDT,7.6,7.65,7.59,7.63,908.86,2021-05-01 00:07:59.999,21
8,2021-05-01 00:08:00.000,SXPDOWNUSDT,7.63,7.66,7.6,7.63,1435.92,2021-05-01 00:08:59.999,28
9,2021-05-01 00:09:00.000,SXPDOWNUSDT,7.61,7.62,7.57,7.6,305.64,2021-05-01 00:09:59.999,10
10,2021-05-01 00:10:00.000,SXPDOWNUSDT,7.6,7.64,7.6,7.6,1575.93,2021-05-01 00:10:59.999,19
11,2021-05-01 00:11:00.000,SXPDOWNUSDT,7.58,7.59,7.55,7.56,1086.03,2021-05-01 00:11:59.999,21
12,2021-05-01 00:12:00.000,SXPDOWNUSDT,7.56,7.56,7.46,7.48,1178.83,2021-05-01 00:12:59.999,55
13,2021-05-01 00:13:00.000,SXPDOWNUSDT,7.46,7.51,7.37,7.51,3900.1,2021-05-01 00:13:59.999,135
14,2021-05-01 00:14:00.000,SXPDOWNUSDT,7.49,7.5,7.38,7.45,2279.67,2021-05-01 00:14:59.999,158
15,2021-05-01 00:15:00.000,SXPDOWNUSDT,7.43,7.47,7.38,7.38,3483.14,2021-05-01 00:15:59.999,47
16,2021-05-01 00:16:00.000,SXPDOWNUSDT,7.37,7.38,7.31,7.35,1678.44,2021-05-01 00:16:59.999,35
17,2021-05-01 00:17:00.000,SXPDOWNUSDT,7.34,7.34,7.31,7.33,1565.0,2021-05-01 00:17:59.999,41
18,2021-05-01 00:18:00.000,SXPDOWNUSDT,7.33,7.43,7.32,7.42,1060.04,2021-05-01 00:18:59.999,38
19,2021-05-01 00:19:00.000,SXPDOWNUSDT,7.4,7.42,7.32,7.35,1228.94,2021-05-01 00:19:59.999,93
20,2021-05-01 00:20:00.000,SXPDOWNUSDT,7.36,7.37,7.32,7.36,912.65,2021-05-01 00:20:59.999,31
21,2021-05-01 00:21:00.000,SXPDOWNUSDT,7.34,7.35,7.28,7.28,2813.12,2021-05-01 00:21:59.999,121
22,2021-05-01 00:22:00.000,SXPDOWNUSDT,7.28,7.35,7.28,7.3,1488.79,2021-05-01 00:22:59.999,140
23,2021-05-01 00:23:00.000,SXPDOWNUSDT,7.29,7.29,7.1,7.1,2868.42,2021-05-01 00:23:59.999,78
24,2021-05-01 00:24:00.000,SXPDOWNUSDT,7.09,7.16,7.05,7.09,3518.95,2021-05-01 00:24:59.999,137
25,2021-05-01 00:25:00.000,SXPDOWNUSDT,7.07,7.09,6.92,6.93,3585.72,2021-05-01 00:25:59.999,102
26,2021-05-01 00:26:00.000,SXPDOWNUSDT,6.94,7.09,6.92,7.06,8157.39,2021-05-01 00:26:59.999,327
27,2021-05-01 00:27:00.000,SXPDOWNUSDT,7.07,7.15,7.06,7.09,2256.17,2021-05-01 00:27:59.999,128
28,2021-05-01 00:28:00.000,SXPDOWNUSDT,7.12,7.27,7.09,7.14,6446.28,2021-05-01 00:28:59.999,162
29,2021-05-01 00:29:00.000,SXPDOWNUSDT,7.13,7.23,7.13,7.2,822.41,2021-05-01 00:29:59.999,23
30,2021-05-01 00:30:00.000,SXPDOWNUSDT,7.19,7.24,7.12,7.24,636.61,2021-05-01 00:30:59.999,20
31,2021-05-01 00:31:00.000,SXPDOWNUSDT,7.23,7.4,7.23,7.39,984.38,2021-05-01 00:31:59.999,25
32,2021-05-01 00:32:00.000,SXPDOWNUSDT,7.37,7.37,7.27,7.33,1759.99,2021-05-01 00:32:59.999,128
33,2021-05-01 00:33:00.000,SXPDOWNUSDT,7.33,7.5,7.3,7.33,2227.66,2021-05-01 00:33:59.999,70
34,2021-05-01 00:34:00.000,SXPDOWNUSDT,7.32,7.33,7.31,7.32,295.07,2021-05-01 00:34:59.999,13
35,2021-05-01 00:35:00.000,SXPDOWNUSDT,7.32,7.32,7.27,7.28,945.81,2021-05-01 00:35:59.999,57
36,2021-05-01 00:36:00.000,SXPDOWNUSDT,7.27,7.31,7.27,7.28,918.98,2021-05-01 00:36:59.999,61
37,2021-05-01 00:37:00.000,SXPDOWNUSDT,7.29,7.29,7.26,7.29,231.01,2021-05-01 00:37:59.999,37
38,2021-05-01 00:38:00.000,SXPDOWNUSDT,7.28,7.28,7.18,7.2,680.35,2021-05-01 00:38:59.999,17
39,2021-05-01 00:39:00.000,SXPDOWNUSDT,7.22,7.24,7.22,7.24,520.65,2021-05-01 00:39:59.999,10
40,2021-05-01 00:40:00.000,SXPDOWNUSDT,7.26,7.37,7.26,7.37,1628.57,2021-05-01 00:40:59.999,44
41,2021-05-01 00:41:00.000,SXPDOWNUSDT,7.36,7.36,7.33,7.33,1442.39,2021-05-01 00:41:59.999,27
42,2021-05-01 00:42:00.000,SXPDOWNUSDT,7.33,7.35,7.29,7.34,427.1,2021-05-01 00:42:59.999,47
43,2021-05-01 00:43:00.000,SXPDOWNUSDT,7.34,7.36,7.31,7.31,198.07,2021-05-01 00:43:59.999,9
44,2021-05-01 00:44:00.000,SXPDOWNUSDT,7.3,7.35,7.3,7.33,614.62,2021-05-01 00:44:59.999,19
45,2021-05-01 00:45:00.000,SXPDOWNUSDT,7.32,7.35,7.31,7.35,937.65,2021-05-01 00:45:59.999,24
46,2021-05-01 00:46:00.000,SXPDOWNUSDT,7.35,7.46,7.35,7.45,2075.83,2021-05-01 00:46:59.999,51
47,2021-05-01 00:47:00.000,SXPDOWNUSDT,7.44,7.44,7.39,7.43,2002.66,2021-05-01 00:47:59.999,31
48,2021-05-01 00:48:00.000,SXPDOWNUSDT,7.42,7.46,7.4,7.42,1855.38,2021-05-01 00:48:59.999,138
49,2021-05-01 00:49:00.000,SXPDOWNUSDT,7.42,7.5,7.42,7.49,976.33,2021-05-01 00:49:59.999,37
50,2021-05-01 00:50:00.000,SXPDOWNUSDT,7.48,7.5,7.47,7.5,475.67,2021-05-01 00:50:59.999,23
